News,sentiment,label
Gold Prices Remain Lower on Stronger U.S. Dollar,0,negative
gold prices pull back from 4-month highs,0,negative
"feb. gold down $3.70, or 0.3%, at $1,234.90/oz",0,negative
"December gold gains $8.50, or 0.6%, at $1,368.50/oz.",1,positive
gold futures climb above $700 an ounce in morning dealings,1,positive
gold etfs record rs 900 cr outflow in 2015; aum down 20%,0,negative
"august gold off 0.5% at $1,253.90/oz.",0,negative
"August gold down $10, or 0.8%, to settle at $1,246.40/oz",0,negative
"April gold down $1.60, or 0.1%, at $1,254.10/oz after highs above $1,258",0,negative
"Feb. gold settles at $1,184.90/oz, up $11.50, or about 1%",1,positive
"gold, oil hold to gains after ism data",,neutral
gold holds steady as dollar firms,,neutral
gold gains on dollar weakness,1,positive
"gold rate today: gold, silver down in morning trade",0,negative
gold prices gain along with stock futures,1,positive
metals issues climb; gold steadies,1,positive
gold falls for ninth day as dollar rises vs. euro,0,negative
gold futures finish at a 1-week high ahead of fed decision,1,positive
fred hickey - buy gold,1,positive
"December gold up 0.3% at $1,343.30/oz.",1,positive
"Dec. gold settles at $1,294.40/oz, up $7.10, or 0.6%",1,positive
gold ends higher; silver down 2% after steep loss,0,negative
Gold futures log highest settlement since mid-November,1,positive
"gold closes above rs 18,000-level on strong global cues",1,positive
"gold ends lower at rs 13,130",0,negative
"Gold glitters ahead of Dhanteras, Diwali",1,positive
"Gold holds above $1,200/oz on weaker dollar before Fed minutes",,neutral
"gold, silver encounter profit-selling, global cues",1,positive
Gold surges most in four weeks on Dagong US downgrade,1,positive
"April gold settles at $1,230.20/bbl, up $3.10, or 0.3%",1,positive
Gold prices gain in Asia as China CPI up less than expected,1,positive
"gold futures end slightly higher, but tally a third straight weekly loss",1,positive
sharps pixley: chinese gold demand slipping - but still up y-o-y,1,positive
Expect Gold to trade sideways: Sushil Finance,,neutral
"hiding behind gold's flashy moves, oil's the true performer",1,positive
"gold, oil trade lower as jobs data weigh",0,negative
"gold futures rise, as dollar edges lower",1,positive
Gold suffers from biggest single-day dollar and percentage loss since Jan. 25,0,negative
expect downward move in gold: astromoneyguru,0,negative
Gold prices end the month with a loss of about 1.1%,0,negative
"april gold settles at $1,222.60/oz on comex, up $12.50, or 1%",1,positive
"june gold down $11.7, or 1%, after sentiment data",0,negative
"low inflation phase not for realty, gold; hence investors rushing to equity: ashwini agarwal, ashmore investment",0,negative
Gold slips as dollar steadies on positive US data,0,negative
gold prices jump in early asia as fed hold steady citing global weakness,1,positive
Gold futures settle at lowest level since early February,0,negative
"gold ends lower, still flirting with $1,200 level",0,negative
"gold, silver start week on firm note, rise on global cues",1,positive
"Gold, silver gain on more bets the Fed will take it slow on raising rates",1,positive
"Gold industry sees prices rising to $1,532/oz over 12 months",1,positive
gold rises as dollar weakens anew; silver ends near $16,1,positive
Gold Prices Edge Higher With All Eyes on U.S. Tariffs,1,positive
december gold up $5.90 to $822.70 an ounce on globex,1,positive
Gold at 3-week high as dollar struggles amid US rate outlook,1,positive
"june gold up 0.2% at $1,319.90/oz.",1,positive
MCX GOLD February contract moves up,1,positive
"august gold trades at $1,300.10/oz, down $8.90, or 0.7%",0,negative
Gold futures up 0.36% on positive global cues,1,positive
"Gold futures dip to Rs 29,012 on weak global cues",0,negative
MCX GOLDPETAL Nov contract up marginally,1,positive
gold holds steady amid softer dollar,,neutral
Assets under Gold ETFs up nearly three fold,1,positive
Gold marks new session lows as U.S. dollar index trades near day's highs,0,negative
gold rises to 1-week high as dollar holds steady,1,positive
gold adds to gains after weak china data,1,positive
gold prices fall for the session to post a modest loss for the week,0,negative
"commodity watch: gold, silver rise; sugar slides in futures trade",1,positive
"Look to buy gold on dips to $1,240",0,negative
"Gold futures pare gains, but still finish at a 6-week high",1,positive
gold futures up $12.20 at $954.70 an ounce,1,positive
"Gold futures rise to Rs 29,416",1,positive
"cboe gold index closes at 84.2, up 4%",1,positive
"Dec. gold settles at $1,296.70/oz, up $5.10, or 0.4%",1,positive
"june gold futures fall $11.60, or 0.9%, to settle at $1,277.50 an ounce",0,negative
gold prices soar but buyers bet on akshaya tritiya,1,positive
Gold future extend losses after jobs report,0,negative
"Dec. gold drops $33.40, or 2.6%, to $1,233/oz",0,negative
Gold prices to trade lower today: Angel Commodities,0,negative
"dec. gold reverses losses, gaining 0.6% to $734.70 an ounce",0,negative
gold futures mark their highest settlement since feb. 11,1,positive
"gold rallies to finish near $1,200 as trump fuels market uncertainty",1,positive
"gold tops $1,790 to end at over six-week high",1,positive
gold futures rebound on firm global cues,1,positive
gold prices on track to settle lower for the session,0,negative
Fading aura: Gold set for further correction,0,negative
gold prices rebound in asia ahead of china q3 gdp,1,positive
"gold, oil hold on to gains post bernanke",1,positive
mcx goldguinea november contract rises,1,positive
Gold futures mark lowest settlement since early June,0,negative
"Gold prices trading higher in Chennai, Ahmedabad market",1,positive
gold futures remain lower after durable goods,0,negative
gold kist started at hold at stifel nicolaus,,neutral
dubai loses glitter as vat tax crimps demand in city of gold,0,negative
sanguine about gold,1,positive
gold ends narrowly higher as 'many uncertainties' plague the market,1,positive
"june gold last at $1,203.90/oz on comex, down 20 cents",0,negative
"June gold down 1.5% at $1,230.40/oz.",0,negative
gold scores third straight win; edges up more after fed decision,1,positive
Gold settles lower as investors look to Jackson Hole,0,negative
gold rises rs 67 in futures trade on global cues,1,positive
gold falls as jobs data clip economic worries,0,negative
festive demand lifts up gold & silver prices,1,positive
"gold futures up $8.50 at $1,005.20 an ounce",1,positive
"Gold hits 4-week high as central bank meetings, Brexit vote shake stocks",1,positive
"gold closes a tad lower at $1,325.10/oz",0,negative
lower oil prices and weaker gold demand positive for current account deficit,0,negative
"karvy advises to sell gold, silver",0,negative
"oil, gold push higher after german court ruling",1,positive
"Gold falls on upbeat U.S. housing, inflation data",0,negative
"gold prices edge higher on weaker dollar, trade tensions",1,positive
Gold stands tall as China fears fuel safe-haven draw,1,positive
gold futures turn lower ahead of comex close,0,negative
Gold's 2016 peak now looks easy to reach after the metal's big breakout,1,positive
"Gold settles higher, but seesaws after Fed statement",1,positive
dec gold down 1.4% at $407.10,0,negative
"Feb. gold settles at $1,204.90/oz, up $3.40, or 0.3%",1,positive
here's why gold might die out as an investment,0,negative
"gold futures rally, as other commodities also rise",1,positive
gold futures mark highest settlement in a month,1,positive
"gold advances, oil posts losses after u.s. outlook",1,positive
gold futures gain nearly 3% for the month,1,positive
mining : top gold miners production cost still provides floor in the market price,0,negative
gold to trade in 28372-28686 range: achiievers equities,,neutral
gold rebounds to hit four-month high; silver spurts,1,positive
Gold holds slight gain after data,1,positive
gold etfs higher in early trade,1,positive
august gold falls 0.4% to $951.30 an ounce,0,negative
"february gold up 0.3% at 1,274.80 an ounce",1,positive
"gold edges up on softer dollar, palladium at 16-year peak",1,positive
MCX GOLD Dec contract trading lower,0,negative
"dec gold climbs $4.60 to $467.90/oz, a 9-mo high",1,positive
gold stays close to 6-week low as investors await fed outcome,0,negative
"gold rises on ukraine unease, though u.s. data cap gains",1,positive
gold futures down 0.43% on weak global cues,0,negative
"Gold surges by Rs 290 on global cues; reclaims Rs 26,000-level",1,positive
gold ends lower as bearish sentiment takes hold,0,negative
"gold falls 1.5% on day, down 0.4% on week",0,negative
"gold futures climb, but end the week down 2.5%",1,positive
"Gold edges up after 2-day decline, China concerns support",1,positive
"Gold struggles on firmer dollar, Fed rate hike fears",0,negative
june gold up $10.40 at $875.50 an ounce on nymex,1,positive
"Dec. gold gains 20 cents to settle at $1,267.70/oz for the session",1,positive
seasonal demand pushes up gold by rs 375; silver by rs 400,1,positive
Gold edges lower as dollar holds steady,0,negative
Gold prices turn higher ahead of Comex settlement,1,positive
"Gold, silver edge higher ahead of U.S. jobless claims, housing data",1,positive
"gold futures add $19.80 to $1,733.20",1,positive
gold logs modest losses for the day and week,0,negative
Gold rises on safe-haven buying,1,positive
gold options 'fear' traders turn to gold miners,0,negative
"Dec. gold declines by $16.80, or 1.3%, to settle at $1,286.20/oz",0,negative
"gold slips $2.10 to settle at $1,183.50/oz",0,negative
"June gold trades $6.80, or 0.6%, higher at $1,234.50/oz.",1,positive
"Gold futures down at Rs 27,477 on profit-taking",0,negative
"gold futures dull, hold above $440",,neutral
"Dec. gold gains $3.70, or 0.3%, to settle at $1,294.70/oz",1,positive
Gold prices push higher amid Hong Kong unrest,1,positive
"gold closes 0.2% down at $1,268.70/oz",0,negative
"Gold pares losses by the finish, gains 1.2% for the week",1,positive
"gold rate today: gold, silver trade higher in morning deals",1,positive
"anz cuts '12 gold outlook, cites dollar headwinds",0,negative
"gold closes lower, palladium rises",0,negative
waiting for gold to bottom? Watch this group of bulls,0,negative
"Gold, silver skid on profit-taking, global cues",0,negative
gold futures settle at lowest level since jan. 2,0,negative
"crude oil higher, gold futures lower after data",0,negative
Gold futures mark highest finish in about 5 months,1,positive
"Gold prices end with a slight loss as U.S. equities, dollar gain ground",0,negative
india : rising gold prices keep india's jewellery buyers at bay,1,positive
"Gold futures trim gain after jobless claims, PPI data",1,positive
MCX GOLD Dec contract trading higher,1,positive
gold prices climb over $8 an ounce in afternoon trading,1,positive
Gold futures extends losses,0,negative
"Gold prices rise on softer dollar, Italy budget woes",1,positive
"gold futures climb $9, edge back up toward $1,800",1,positive
MCX GOLDGUINEA Nov contract down marginally,0,negative
mining indexes slump on gold slide,0,negative
Gold ends near 3-week high as dollar sinks,1,positive
gold and silver edge lower while stocks tumble,0,negative
gold prices rip higher following rpts former trump nat. sec. advisor cooperating with special prosecutor,1,positive
"Dec. gold trades at $1,255.40/oz, up from $1,253.80 settlement",1,positive
gold futures give up europe-deal gains,1,positive
Gold futures log highest finish since Oct. 3,1,positive
Gold holds early gains after PPI report,1,positive
"Gold, silver rebound on aggressive buying",1,positive
"dec. gold loses $10.30, or 0.9%, to settle at $1,172.80/oz on comex",0,negative
This-and not North Korea-is why scared investors are buying gold,1,positive
gold prices rise for second day on jewellers' buying,1,positive
feb gold down $7.70 at $430.70/oz in ny,0,negative
Gold nudges up as Asian shares edge lower,1,positive
"gold futures fall, tracking tumble in oil prices",0,negative
gold prices dull on dollar strength,0,negative
"gold falls 2% on central banks' action, euro hopes",0,negative
gold sparkles again,1,positive
gold scores biggest weekly gain since january,1,positive
gold prices to trade volatile: angel commodities,1,positive
Gold appetite hit a 5-year high in November as prices tumbled,1,positive
"june gold down 0.2%, or $1.40, at $688.50/oz in ny",0,negative
"April gold climbs $3.40, or 0.3%, to settle at $1,239.50/oz",1,positive
gold steady on easing dollar; fed minutes in focus,,neutral
"More upside seen in gold prices; buy futures above Rs 30,450 for target Rs 30,600",1,positive
gold slumps over 1% in wake of fed meeting,0,negative
"gold inches down, ends week with 3.4% loss",0,negative
dec gold climbs $2.80 to $433.30/oz in ny,1,positive
Gold prices settle lower after two-session gain,0,negative
Gold prices sink nearly 8% in November for worst monthly loss in 2016,0,negative
"Gain seen in gold prices in Mumbai, Delhi market",1,positive
"Gold prices end the session lower, but tally a gain for the first half of the year",1,positive
"Dec. gold gains $8.20, or 0.6%, to settle at $1,330.40/oz",1,positive
"oil trades below $73, gold reverses after bernanke",,neutral
Gold prices log lowest settlement since early August,0,negative
Gold extends its streak of gains to four sessions by a hair,1,positive
gold gains as dollar rally takes a breather,1,positive
"Gold prices up in Asia as Fed holds steady, eyes on Eurogroup ahead",1,positive
spot gold quoted at $404.10 in asia,1,positive
"gold rises to rs 22,570, silver to rs 54,700 on global cues",1,positive
Gold prices to trade lower today: Angel Commodities,0,negative
gold slightly lower as investors await fed,0,negative
gold trades higher as dollar eases,1,positive
gold climbs to 9.5 month high as north korea tensions escalate,1,positive
commodities - gold prices bounce back on softer dollar ahead of fed,1,positive
"gold ends higher, posts best settlement price since july",1,positive
Gold prices to trade higher today: Angel Commodities,1,positive
"Gold futures up at Rs 30,226/10 gm",1,positive
correct: gold futures settle at lowest level in more than 4 weeks,0,negative
"gold to hover around rs 16,000 this week",,neutral
gold futures up over $3 an ounce in afternoon dealings,1,positive
"gold prices down 9 sessions, lose 2% for the week",0,negative
"feb. gold rises $3.40 to $1,087.90/oz on globex",1,positive
"gold settles back under $1,300 an ounce",0,negative
philly gold and silver index falls 2.7% to end at 91.76,0,negative
Gold extends gains as Fed minutes reveal weak pricing concerns,1,positive
"oil turns lower, gold holds gain after jobs",1,positive
"Dec. gold at $1,190.30/oz in electronic trading, up from $1,189.30 settlement",1,positive
"aug. gold up $58 at $1,622.20 after $1,623.20 high",1,positive
"Dec. gold gains $3, or 0.2%, to $1,314.40/oz",1,positive
"gold, silver rise on wedding season demand",1,positive
"dec gold closes at $420.80/oz, down $7.40",0,negative
"philadelphia gold/silver index ends at 99.96, up 0.5% on day",1,positive
"Dec. gold settles at $1,317.80/oz, up $7.60, or 0.6%",1,positive
gold ends floor trade up $9.8 at $1191.7 an ounce,1,positive
"gold plunges rs 350 on weak global cues, low local demand",0,negative
"gold futures trade near session's low of $1,701.20",0,negative
charts : gold: bearish bias while price contained below $1215,0,negative
"Gold holds lower after jobless-claims report, other data",0,negative
gold futures rise above $900 as dollar falls,1,positive
"Gold plunges to Rs 28,780; silver slumps below Rs 37,000-mark",0,negative
gold stays lower after fed's beige book,0,negative
Gold futures score two-week highs even as dollar extends climb,1,positive
gold prices edge closer to $450,1,positive
"Commodity outlook: Oil prices likely to trend lower; key support for gold around Rs 31,300, silver at Rs 40,600",0,negative
mcx goldpetal oct contract up marginally,1,positive
gold prices move slightly higher as u.s. stocks trade broadly lower,1,positive
gold etf rises to all-time high,1,positive
"fed minutes weigh on stocks, gold while boosting treasurys, dollar",0,negative
gold prices may fall as fed commentary boosts the us dollar,0,negative
Gold goes up Rs 86 on positive global cues,1,positive
Gold pulls back as private-sector hiring data up prospects for higher interest rates,1,positive
"Gold holds onto gains from Iraq concerns, Fed language",1,positive
"dec gold closes at $473.20, highest since late 1987",1,positive
"Gold prices soften on lacklustre demand, global cues",0,negative
gold rebounds from jobs-inspired slide,1,positive
gold's recent slump bewilders investors,0,negative
"Dec. gold loses $4.90, or 0.4%, to settle at $1,303.30/oz",0,negative
Gold prices under pressure; here's what investors should do,0,negative
gold prices fall on firmer dollar,0,negative
india gold demand improves slightly after prices drop,0,negative
gold settles higher amid broad commodity rally,1,positive
"silver, gold rally to highest level since 2014",1,positive
"gold pushes above $1,300 as dollar eases ahead of ecb policy update",1,positive
"gold wipes off losses, trading marginally higher in early trade",0,negative
"june gold down $3.20, or 0.2%, to end at $1,305.90/oz",0,negative
"april gold falls 20 cents to $1,123.80/oz on globe",0,negative
"gold settles lower, extends loss after fed beige book",0,negative
gold futures log highest settlement since mid-july on comex,1,positive
gold climbs to one-week high,1,positive
"August gold edges slightly higher at $1,271.50/oz, up 0.1%",1,positive
Commodities@Moneycontrol: Gold prices near highest since August 2016,1,positive
"gold shines, silver fades",1,positive
"gold futures end lower, as u.s. dollar rises vs. rivals",0,negative
gold rate today: gold trades lower in morning deals; silver up,0,negative
"Gold, silver spurt on festive offtake, global cues",1,positive
gold prices gain in asia as support continues despite fed hike views,1,positive
"gold, oil hold on to losses after consumer data",0,negative
"December gold rises 1% at $1,265.10",1,positive
"Dec. gold gains $1.30, or 0.1%, for the session to finish at $1,325.90/oz",1,positive
gold climbs as europe woes spur demand,1,positive
gold gains on investment buying,1,positive
"august gold closes at $655.40/oz, down $3.80 in ny",0,negative
"December gold down $4.90, or 0.4%, at $1,306.50/oz.",0,negative
"Gold futures suffer first loss in 3 sessions, but keep grip on $1,300",0,negative
Gold ends at 3-month high as dollar wobbles,1,positive
"dec. gold up $12.50, or 2.1%, to close at $619.30/oz",1,positive
"Dec. gold climbs $4, or 0.3%, to settle at $1,282.90/oz",1,positive
"australian shares edge up, boosted by gold miners",1,positive
"gold glitters, but there're few takers",1,positive
gold may slip to rs 26500: nirmal bang,0,negative
"Gold slips to Rs 30,560 on muted demand, weak global cues ",0,negative
gold futures up $3.40 at $653 an ounce,1,positive
Gold Prices Push Lower on Dollar Strength,0,negative
"gold futures drop $16 to settle at $1,713.80",0,negative
"feb. gold gains $16, or 1.4%, to settle at a $1,181.30/oz",1,positive
"Gold holds losses on rate hike views, trade worries",0,negative
"April gold settles at $1,249.70/oz, up $3.20, or 0.3%",1,positive
"gold futures down $10.70 at $1,590.40 an ounce",0,negative
Gold prices to trade higher today: Angel Commodities,1,positive
"Silver drops to Rs 41,400 per kg; gold steady at Rs 30,850",0,negative
dollar plunge propels gold stocks,1,positive
charts : gold enters decisive zone amid growing geopolitics while on downward trend,0,negative
"short gold, silver on rally, says karvy commodities broking",1,positive
"Gold holds on to overnight gains as stocks, dollar retreat",1,positive
"dec gold closes near a two-week high, up $5.20 at $467.50/oz",1,positive
4 reasons gold is poised for a comeback,1,positive
"gold, silver settle at multi-week lows",0,negative
gold prices hover at 2-week lows on dollar strength,,neutral
gold closes at 7-week low as dollar continues higher,0,negative
"gold notches back-to-back gain amid pullback in dollar, bond yields",1,positive
Gold settles lower after posting gains over the last two sessions,0,negative
"gold ends 1.4% higher on china exports, weak dollar",1,positive
Gold futures end with a gain of 0.7% for the week,1,positive
"Gold futures hold steady, eyes on U.S. data",,neutral
"gold inches higher on data, stimulus hopes",1,positive
"Gold jumps to Rs 30,450; silver recaptures Rs 41K-mark",1,positive
"gold climbs on global cues; silver tops rs 46,000 mark",1,positive
gold futures extend losses to a second session,0,negative
gold prices gain slightly in asia as markets await demand cues,1,positive
"Gold's glitter remains, despite the price rise",,neutral
"gold futures turn higher, up 0.2%",1,positive
Gold prices hold steady as investors wait for Fed minutes,,neutral
gold eyes biggest weekly gain in months on cyprus woes,1,positive
india gold seen falling further,0,negative
gold futures erase most losses to trade down $2.60,0,negative
gold looks strong at current levels: karvy,1,positive
Gold prices mark fifth decline in six sessions,0,negative
"gold prices end lower after failed run at $1,300",0,negative
"Gold, silver dip further on weak global cues",0,negative
gold prices gain in asia as trump travel policy noted,1,positive
"aug. gold gains $18.20, or 1.3%, to $1,410/oz",1,positive
"June gold futures up $6.20, or 0.5%, to $1,234.90 an ounce",1,positive
"gold futures up $12.20 at $1,212.40 an ounce",1,positive
Expect Gold to trade sideways: Sushil Finance,,neutral
gold closes slightly lower as dollar's jump outweighs turkey contagion fear,0,negative
"Gold settles down $1.30, or 0.1%, at $1,176.50 an ounce",0,negative
Gold prices to trade sideways today: Angel Commodities,,neutral
"Gold may consolidate, move higher",1,positive
"gold, copper rise after strong chinese data",1,positive
mining : top gold miners production cost still provides floor in the market price,0,negative
"gold, silver down in early trade",0,negative
Gold prices gain in Asia as investors eye last-minute Greece debt talks,1,positive
October trade deficit widens to $ 17.13 billion despite decline in gold imports,0,negative
gold scores gain to start week ahead of fed rate decision,1,positive
gold imports likely to fall on lower inflation: rajan,0,negative
"gold futures up $11.40 at $1,198.70 an ounce",1,positive
Gold taps intraday highs as U.S. Dollar Index drops to day's lows,1,positive
gold prices dip in asia with focus on upcoming u.s. jobs data,0,negative
"dec gold closes at $399.40/oz, down $3.10 for the day",0,negative
randgold gold output up 24% on year,1,positive
"gold ends lower; silver, copper gain",0,negative
"gold futures settle below $1,200 for the second time in a week",0,negative
"Gold prices end streak of losses, finish higher for the session",1,positive
"Gold futures down at Rs 30,383 per 10 gm",0,negative
Gold sinks after payrolls report shows a strong July gain,0,negative
commodities - gold prices regain ground on north korean threats,1,positive
eldorado gold downgraded to neutral from outperform at credit suisse,0,negative
gold prices edge down as dollar steadies,0,negative
"spot gold quoted at $421.30, down 40c from new york",0,negative
"gold down on dollar firmness, oil range-bound, copper steady",0,negative
Gold settles at 2-month high amid geopolitical tensions,1,positive
gold buying gains pace as prices move south,1,positive
nymex gold ends with a $2 loss,0,negative
"gold climbs, but remains below $1,730/oz",1,positive
feb gold up 60c at $423.60/oz in ny,1,positive
canadian markets close down; gold stocks hold slight gain,1,positive
gold declines first time in three days before eu summit,0,negative
december gold down $4.50 at $734.40 an ounce on nymex,0,negative
gold contrarians say it's time to start buying,1,positive
Commodities - Gold Prices Hold Steady Ahead of U.S. Inflation Data,,neutral
"Gold drops $14.70, or 1.1%, to $1,301.70 an ounce",0,negative
"august gold down 0.2% at $1,221.10/oz.",0,negative
gold prices steady in early asia ahead of light data day in the region,,neutral
Silver slumps by Rs 655/kg on heavy selling; gold eases,,neutral
"gold futures up 0.6% on day, climbs 4.2% on week",1,positive
gold futures retreat; market awaits spain bailout,0,negative
gold futures give back more than half of the gains seen a day earlier,1,positive
gold adds to slight decline after economic reports,0,negative
"Gold settles lower, builds on a weekly loss",0,negative
gold down $1 at $587 in the early going,0,negative
us scrap gold prices continue to decline in line with comex gold,0,negative
Gold prices gain in Asia as geopolitical events point to volatility,1,positive
Gold prices get post-settlement boost after Fed minutes,1,positive
Gold edges lower as dollar gain on Fed interest rate expectations,0,negative
"oil drops 1.3% after housing data, gold holds",0,negative
"gold at $1,670.50, near day's intraday record",1,positive
"gold slips below rs 30,000 on weak global cues, muted demand",0,negative
"gold holds above $1,300 but firm dollar weighs",,neutral
Gold prices to trade lower today: Angel Commodities,0,negative
"august gold gains $11.70, or 0.9%, to $1,253.40/oz",1,positive
Gold futures decline 0.97% on global cues,0,negative
"gold breaks 3-day rise, down rs 100 on global cues, low demand",0,negative
"aug. gold closes $down $87.80 at $1,286.20 per oz.",0,negative
Gold settles at a more than two-week high,1,positive
feb. gold ends up $1.40 at $881.70 an ounce on nymex,1,positive
"Gold falls as new trade tariffs, rate-hike view buoy dollar",0,negative
gold regains ground on softer dollar,1,positive
Gold inches up as stocks fall on Deutsche Bank worries,1,positive
"Gold, silver decline as investors await U.S. GDP data, FOMC decision",0,negative
"gold up by rs 420, silver by rs 1,100 on wedding season demand",1,positive
"gold falls as dollar strengthens, etf holdings decline",0,negative
gold inches down amid fed inflation concerns,0,negative
Gold futures tip lower as the U.S. dollar strengthens,0,negative
gold closes lower monday,0,negative
"Gold slides 1.5%, falls below $1,300 an ounce for first time in September",0,negative
gold trades flat in morning deals; silver down,0,negative
"aug. gold down 20 cents to settle at $1,096.20/oz on comex",0,negative
"dec. gold drops $7, or 1.1%, to $632/oz in afternoon trade",0,negative
feb gold falls $2.60 to end the day at $453.20 in ny,0,negative
"gold prices hit $338, issues shoot up",1,positive
